protID	matched	geneID	cov1	cov4	cov9	cov14	rpkm1	rpkm4	rpkm9	rpkm14	nsaf1	nsaf4	nsaf9	nsaf14	nadjspc1	nadjspc4	nadjspc9	nadjspc14
GRMZM2G052389	x	GRMZM2G052389	487.5333333	1191.601759	108.3912561	49.51299069	10.27207589	25.10643451	2.283747864	1.043213178	2.52247E-05	0	0	2.5951E-05	6.8173E-05	0	0	6.49407E-05
GRMZM2G052435	x	GRMZM2G052435	886.0833333	434.4071993	142.2689597	189.2250933	15.64653013	7.670796955	2.512196631	3.341351781	0.000144945	4.8417E-05	9.47766E-06	0	0.000497392	0.00016634	3.32949E-05	0
GRMZM2G052610	x	GRMZM2G052610	738	3598.454517	2429.018302	2166.193342	29.53185793	143.9959994	97.19976073	86.68253935	0	0	0.000302178	0.000145555	0	0	0.000260636	0.000119827
GRMZM2G052989	x	GRMZM2G052989	291	285.6188301	68.36424914	29.17729808	25.05502275	24.59170546	5.886143703	2.51215762	4.11831E-05	0	0	0	3.8956E-05	0	0	0
GRMZM2G053019	x	GRMZM2G053019	1241.416667	2697.669851	685.3820395	617.8071829	42.14167248	91.57627921	23.26627812	20.97235251	0	8.4974E-05	1.0565E-05	1.33082E-05	0	0.000150711	2.07658E-05	2.16469E-05
GRMZM2G053023	x	GRMZM2G053023	728	968.2478342	781.2311523	1182.564733	50.11936291	66.65929202	53.78407643	81.41399865	0	5.28821E-05	5.66583E-05	0	0	3.12578E-05	3.25795E-05	0
GRMZM2G053236	x	GRMZM2G053236	2293.983333	2978.56645	3124.376652	3133.818646	87.32081003	113.3795662	118.9298528	119.2892637	0.000184598	0.000966245	0.001198758	0.00150177	0.000232875	0.001244967	0.001585685	0.001791762
GRMZM2G053299	x	GRMZM2G053299	3984.25	1061.01683	522.5168278	523.8651247	136.2609299	36.28666372	17.87002042	17.91613203	0	0.000107687	0	2.11716E-05	0	0.000175044	0	3.1954E-05
GRMZM2G053322	x	GRMZM2G053322	1162	3657.063501	1851.836168	1405.815271	34.07521018	107.242003	54.30439471	41.22500073	0	7.82327E-05	0	0	0	0.000151827	0	0
GRMZM2G053480	x	GRMZM2G053480	43.76746032	16.19776121	8.576594505	18.93085973	1.159273955	0.429032038	0.227169284	0.501423945	0	0	0	1.24761E-05	0	0	0	1.19827E-05
GRMZM2G053652	x	GRMZM2G053652	5439.05	2031.816192	259.8450309	578.6830786	356.5877934	133.2072425	17.03561581	37.93885367	0.002304239	0.001164399	0.000246117	0	0.001747071	0.000897004	0.000191679	0
GRMZM2G053726	x	GRMZM2G053726	690.5	1477.220589	1776.948613	2210.40137	36.13297002	77.30103876	92.98541775	115.6674387	0	0.000138083	0.000147653	0.000217295	0	0.000150711	0.00017185	0.000228062
GRMZM2G053781	x	GRMZM2G053781	1712	915.6939694	427.4070232	476.4151752	50.05420891	26.77239325	12.49621521	13.92907985	0.000108944	2.01247E-05	0	0	0.000240697	4.6329E-05	0	0
GRMZM2G053801	x	GRMZM2G053801	396.8638889	220.9674211	227.3140276	289.6583635	26.68058771	14.8553215	15.28199471	19.47331463	3.19497E-05	0	0	0	1.79134E-05	0	0	0
GRMZM2G053898	x	GRMZM2G053898	1311.5	817.4410918	1617.432032	3065.67934	84.92931375	52.93534957	104.7406729	198.525385	0.000240235	0	0	0	9.73899E-05	0	0	0
GRMZM2G053999	x	GRMZM2G053999	756.25	711.6669185	329.1225429	204.2410866	32.35374443	30.44639947	14.08045837	8.737803527	0.000234461	0.000238166	0.000161768	0.000161727	0.000292873	0.000309232	0.000213381	0.000199712
GRMZM2G054012	x	GRMZM2G054012	1376.069048	271.2698842	53.77316631	188.1093669	57.37037952	11.30964774	2.241883838	7.842561231	0.00095661	0.00089665	0.000618081	0.000336277	0.000259824	0.000254978	0.000180156	8.8725E-05
GRMZM2G054065	x	GRMZM2G054065	402	546.1032032	128.9005308	132.6240822	40.8586545	55.50507986	13.10124939	13.47970536	0	0.000423056	0.00071698	0.000276811	0	0.000156289	0.000259205	8.65876E-05
GRMZM2G054123	x	GRMZM2G054123	10279.5	6060.069925	1219.684308	913.4852064	394.1292704	232.3508865	46.76426736	35.02419942	0.000685825	0.001814912	0.000412876	8.15106E-05	0.000945049	0.00268192	0.000603338	0.000111839
GRMZM2G054136	x	GRMZM2G054136	4194.5	1856.731849	309.0307598	529.8332084	211.5961664	93.6648805	15.5893966	26.728019	0.000692978	0.000433244	0.000149371	0.000188806	0.000574091	0.000367843	0.000129603	0.000152298
GRMZM2G054193	x	GRMZM2G054193	133.9571429	80.63699619	43.88631915	40.15562489	6.140008143	3.696046381	2.011556466	1.840557797	0.000143177	5.04537E-05	0	0	0.000118018	4.29801E-05	0	0
GRMZM2G054201	x	GRMZM2G054201	1490.354762	296.9674183	56.70927538	147.0674763	79.19464904	15.78029008	3.013424237	7.814889091	0.001260931	0.000456151	0.0001504	0.000271549	0.000859683	0.000326759	0.000109483	0.000180439
GRMZM2G054300	x	GRMZM2G054300	4349.294444	1569.091473	746.889569	1727.951799	148.4498418	53.55613052	25.49278734	58.97834108	0.001793796	0.001715276	0.000811151	0.001667652	0.001740437	0.001669313	0.000832187	0.001565112
GRMZM2G054405	x	GRMZM2G054405	745.5	938.5434758	812.2820899	626.8698285	47.8258702	60.21013876	52.11012447	40.21541925	0.000153359	0.000307425	5.49379E-05	0.000116444	0.000107481	0.000212111	4.15317E-05	7.9885E-05
GRMZM2G054559	x	GRMZM2G054559	2304.516667	436.3113249	434.0955866	430.6893389	48.36218146	9.156352726	9.109853631	9.038370718	5.52733E-05	7.39839E-05	6.0763E-05	4.03579E-05	0.000175654	0.000248947	0.000203714	0.000123179
GRMZM2G054634	x	GRMZM2G054634	308.5	28.56188301	6.784238464	3.094561918	8.371362935	0.775046641	0.184095048	0.083973099	5.44718E-05	6.90414E-06	0	0	0.000120349	1.50711E-05	0	0
GRMZM2G054765	x	GRMZM2G054765	435	135.9545631	38.87890504	103.8888644	7.004406106	2.18915166	0.626031356	1.672827117	3.20313E-05	0	0	0	0.000136346	0	0	0
GRMZM2G054830	x	GRMZM2G054830	5111.333333	2589.839222	454.0221126	552.6003425	282.9874179	143.3856621	25.1367964	30.59455016	0.001128208	0.000697577	0.000624841	0	0.000934825	0.000596696	0.000541036	0
GRMZM2G055025	x	GRMZM2G055025	449.3333333	222.2114498	170.6931793	167.1800236	21.68020338	10.72163819	8.235896535	8.066387788	1.92188E-05	0.000117831	0	0	1.9478E-05	0.000120569	0	0
