Accession,STN,pVal
AT5G17710.1,-0.0692,0.7097
AT3G47520.1,-0.1464,0.5924
AT2G38270.1,-0.1457,0.5932
AT3G52180.1,-0.233,0.4684
AT4G31530.1,-0.2085,0.5004
AT1G24360.1,-0.1621,0.5698
ATCG00160.1,-0.1837,0.5385
AT4G03280.1,-0.1846,0.5374
AT2G19940.1,-0.4085,0.276
AT5G61410.1,-0.333,0.352
AT3G48730.1,-0.3866,0.2964
AT1G14810.1,-0.3725,0.311
AT1G52510.1,-0.5684,0.172
ATCG00420.1,-0.693,0.1199
AT1G48520.1,-0.4765,0.2245
AT1G50200.1,-0.9959,0.0528
AT2G42130.3,-0.5304,0.193
AT3G63140.1,-0.725,0.1103
AT4G31990.1,-0.8464,0.0796
AT4G09010.1,-0.6336,0.1427
AT2G28190.1,-0.6821,0.1241
AT5G65620.1,-0.7187,0.1123
AT4G26900.1,-0.8073,0.0897
AT4G29840.1,-1.1503,0.0357
