"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT4G34050.1",14,12,9,11,12,9,-0.09,-0.3758,0.966167,0.90964,1
"AT3G57330.1",0,2,0,0,0,0,-0.305,-0.3758,0.966167,0.90964,1
"AT1G64520.1",9,12,13,2,11,18,-0.094,-0.376,0.96632,0.90964,1
"sum51",68,84,80,35,62,95,-0.19,-1.8874,0.966603,1,0.557941
"AT3G03270.1",0,2,0,0,1,0,-0.297,-0.3765,0.966703,0.909716,1
"AT5G05000.1",0,0,2,0,1,0,-0.31,-0.3769,0.967009,0.909716,1
"AT2G04039.1",2,5,1,5,3,2,0.232,0.4748,0.96715,1,0.957758
"AT3G61240.1",0,2,0,0,0,0,-0.308,-0.3771,0.967163,0.909716,1
"AT1G22700.1",13,24,15,18,16,14,-0.074,-0.3777,0.967622,0.909716,1
"AT5G53170.1",1,0,0,2,0,0,0.384,0.4756,0.967653,1,0.957758
"AT2G45540.1",0,0,0,1,2,0,0.396,0.4758,0.967779,1,0.957767
"sum54",0,2,0,0,0,0,-0.306,-0.3782,0.968006,0.909715,1
"AT3G60820.1",6,6,3,4,5,4,-0.14,-0.379,0.96862,0.909793,1
"AT1G06400.1",1,2,0,1,0,0,-0.271,-0.3792,0.968773,0.909793,1
"AT1G35420.1",2,2,0,2,0,0,-0.253,-0.3794,0.968927,0.909793,1
"AT2G25280.1",1,2,0,0,0,0,-0.308,-0.3797,0.969157,0.909793,1
"AT2G30970.1",3,7,7,2,12,6,0.153,0.4782,0.969288,1,0.957777
"AT1G21250.1",0,0,0,0,2,0,0.4,0.4782,0.969288,1,0.957777
"AT4G33030.1",6,3,1,0,1,0,-1.36,-1.8837,0.969549,1,0.5601
"AT1G15710.1",0,2,0,0,0,0,-0.316,-0.3805,0.969771,0.909873,1
"AT2G37040.1",0,0,0,0,0,2,0.392,0.4791,0.969854,1,0.957777
"AT5G11710.1",0,0,2,0,0,0,-0.304,-0.3809,0.970079,0.909873,1
"AT4G34730.1",0,0,0,0,0,2,0.382,0.4795,0.970106,1,0.957777
"AT5G06460.1",0,2,0,1,3,0,0.339,0.4801,0.970484,1,0.957788
"AT1G41830.1",0,1,0,2,0,0,0.337,0.4802,0.970547,1,0.957788
"AT4G13840.1",0,2,0,1,0,0,-0.312,-0.3817,0.970694,0.909872,1
"AT5G62980.1",2,2,1,0,2,0,-0.27,-0.3826,0.971386,0.909954,1
"AT5G08180.1",0,2,0,0,0,1,-0.318,-0.3827,0.971463,0.909954,1
"AT5G64840.1",0,0,2,1,0,0,-0.316,-0.3827,0.971463,0.909954,1
"AT5G27850.1",3,7,16,3,10,11,-0.11,-0.383,0.971694,0.909954,1
"AT3G57890.1",0,2,0,0,1,0,-0.306,-0.3838,0.97231,0.909953,1
"AT3G25660.1",1,2,0,1,0,0,-0.3,-0.3841,0.972541,0.909953,1
"AT5G43850.1",0,2,0,0,0,0,-0.312,-0.3852,0.973388,0.910037,1
"AT5G57950.1",0,1,0,0,2,0,0.395,0.4848,0.973441,1,0.957814
"AT2G30170.1",0,2,1,0,1,0,-0.302,-0.3865,0.974391,0.910036,1
"AT3G15840.1",2,2,1,1,2,1,-0.268,-0.3868,0.974623,0.910036,1
"AT3G12490.1",0,3,1,2,1,1,-0.271,-0.3873,0.975008,0.910121,1
"AT3G59600.1",0,2,0,0,0,0,-0.308,-0.3877,0.975317,0.910121,1
"AT5G02890.1",0,1,0,0,2,1,0.398,0.488,0.975455,1,0.957829
"sum93",0,6,13,0,7,10,-0.129,-0.3881,0.975626,0.910121,1
"AT3G04920.1",4,12,9,10,10,10,0.13,0.4885,0.97577,1,0.957829
"AT3G13235.1",3,0,0,2,0,0,-0.27,-0.3883,0.975781,0.910121,1
"AT1G13270.1",1,0,2,0,0,1,-0.322,-0.3894,0.976631,0.910208,1
"AT1G74040.1",0,0,4,4,0,10,0.99,1.9786,0.976831,0.356227,0.997501
"AT1G30690.1",6,4,4,5,6,1,-0.153,-0.3897,0.976862,0.910208,1
"AT4G32320.1",1,0,1,2,0,0,0.434,0.4911,0.977407,1,0.957861
"AT1G36390.1",2,1,2,0,0,2,-0.274,-0.3906,0.977558,0.910207,1
"AT1G74260.1",13,15,10,20,19,3,0.108,0.4924,0.978225,1,0.957862
"AT1G77060.1",0,2,0,0,0,0,-0.326,-0.3915,0.978255,0.910296,1
"AT3G52990.1",5,9,2,12,5,3,0.168,0.4935,0.978917,1,0.95788
"AT4G31120.1",2,0,0,0,0,1,-0.332,-0.3925,0.979029,0.910295,1
"AT4G25550.1",2,0,0,0,0,0,-0.3,-0.3925,0.979029,0.910295,1
"AT3G29185.1",0,0,3,0,2,0,-0.283,-0.3927,0.979184,0.910295,1
"AT3G48500.1",0,2,1,0,1,0,-0.344,-0.393,0.979416,0.910295,1
"AT4G20850.1",12,34,23,34,36,5,0.085,0.4943,0.979421,1,0.95788
"AT1G73090.1",0,1,2,0,0,0,-0.311,-0.3933,0.979649,0.910386,1
"AT5G10450.1",15,13,32,7,16,18,-0.385,-1.8701,0.980337,1,0.566601
"AT2G19520.1",0,2,0,0,0,0,-0.332,-0.3942,0.980346,0.910386,1
"AT1G70820.1",3,7,3,4,2,5,-0.165,-0.3943,0.980424,0.910386,1
"AT5G60980.1",0,2,1,1,0,0,-0.313,-0.3946,0.980656,0.910385,1
"ATCG01020.1",0,1,2,0,1,0,-0.333,-0.3948,0.980812,0.910385,1
"AT3G06050.1",9,12,9,10,6,11,-0.11,-0.3951,0.981044,0.910385,1
"AT1G74560.1",2,0,0,0,0,0,-0.334,-0.3951,0.981044,0.910385,1
"AT1G74230.1",2,2,0,2,0,0,-0.265,-0.3954,0.981277,0.910477,1
"AT3G17390.1",14,42,39,16,21,32,-0.288,-1.8689,0.981286,1,0.567686
"AT5G57330.1",0,2,0,1,0,0,-0.336,-0.396,0.981742,0.910477,1
"AT3G17930.1",0,4,0,2,5,0,0.271,0.4985,0.982064,1,0.95792
"AT4G25450.1",0,13,2,8,4,2,-0.146,-0.3968,0.982363,0.910477,1
"AT1G27030.1",0,0,2,0,0,0,-0.328,-0.3969,0.982441,0.910477,1
"AT5G24690.1",3,0,1,2,1,0,-0.286,-0.3971,0.982596,0.910477,1
"AT1G04410.1",37,40,41,22,33,37,-0.263,-1.8666,0.983102,1,0.568774
"AT1G70410.2",10,13,19,11,10,18,-0.089,-0.3984,0.983606,0.910571,1
"AT5G49760.1",0,2,0,1,1,0,-0.335,-0.3984,0.983606,0.910571,1
"AT2G38160.1",0,2,0,0,0,0,-0.337,-0.3985,0.983684,0.910571,1
"sum99",4,2,0,4,4,0,0.262,0.5019,0.984204,1,0.957964
"AT3G52720.1",0,0,2,0,0,0,-0.336,-0.4007,0.985395,0.910666,1
"AT5G03940.1",7,10,13,4,11,12,-0.108,-0.4011,0.985706,0.910666,1
"AT1G43890.1",0,2,0,0,0,0,-0.354,-0.4016,0.986095,0.910665,1
"AT5G37830.1",2,1,0,1,1,0,-0.321,-0.4021,0.986484,0.910763,1
"AT3G45140.1",116,174,133,167,146,126,0.034,0.5056,0.986531,1,0.957988
"AT4G04910.1",2,4,2,4,4,2,0.247,0.5056,0.986531,1,0.957988
"AT5G36210.1",7,6,2,7,5,6,0.187,0.5058,0.986657,1,0.957988
"AT4G11150.1",10,33,9,11,21,16,-0.079,-0.4025,0.986796,0.910763,1
"AT2G30110.1",17,31,11,30,25,8,0.09,0.5066,0.98716,1,0.958012
"AT4G29130.1",3,3,1,2,3,0,-0.233,-0.4032,0.987341,0.910762,1
"AT1G43190.1",1,2,0,0,1,0,-0.324,-0.4033,0.987419,0.910762,1
"AT2G47470.1",9,11,13,3,9,7,-0.54,-1.8607,0.987751,1,0.57204
"AT2G20270.1",2,6,7,4,4,5,-0.154,-0.4053,0.988978,0.910861,1
"AT2G34160.1",2,0,0,1,0,3,0.353,0.5097,0.989109,1,0.958039
"AT5G48790.1",0,0,0,2,0,0,0.414,0.5101,0.989361,1,0.958065
"AT4G30810.1",1,2,2,0,0,2,-0.298,-0.4059,0.989446,0.910861,1
"AT4G26300.1",7,14,6,8,1,15,-0.112,-0.4063,0.989758,0.910962,1
"AT3G51420.1",0,0,2,0,1,0,-0.337,-0.4065,0.989914,0.910962,1
"AT4G09320.1",20,31,30,21,26,29,-0.065,-0.4067,0.99007,0.910961,1
"AT3G06720.1",1,1,0,0,3,0,0.404,0.5122,0.990681,1,0.958066
"AT2G43630.1",1,0,2,0,0,0,-0.336,-0.4077,0.99085,0.910961,1
"AT1G05180.1",0,2,0,0,0,0,-0.35,-0.408,0.991084,0.910961,1
"AT4G02370.1",0,2,0,0,0,0,-0.326,-0.4083,0.991319,0.911063,1
"AT1G19150.1",2,4,1,2,5,2,0.266,0.5134,0.991434,1,0.958094
"AT2G16600.1",35,34,24,42,26,21,-0.06,-0.4101,0.992725,0.911063,1
"AT2G47380.1",0,0,2,0,0,0,-0.349,-0.4106,0.993116,0.911167,1
"AT2G44350.1",1,12,3,2,3,2,-0.884,-1.853,0.993795,1,0.575316
"AT5G23820.1",3,7,5,0,4,0,-0.941,-1.8529,0.993873,1,0.575316
"AT3G17810.1",0,2,0,0,0,0,-0.333,-0.4117,0.993975,0.911167,1
"AT1G17050.1",3,9,1,2,4,5,-0.173,-0.4123,0.994445,0.911166,1
"AT4G15110.1",2,1,1,1,0,1,-0.342,-0.4125,0.994601,0.911166,1
"AT1G09780.1",17,48,44,28,29,47,-0.057,-0.4128,0.994836,0.911272,1
"AT4G13930.1",28,34,31,24,21,24,-0.302,-1.8496,0.996455,1,0.577501
"AT5G27770.1",2,8,8,4,7,4,-0.139,-0.4153,0.996793,0.911379,1
"AT1G29850.1",0,2,0,1,0,0,-0.332,-0.4154,0.996871,0.911379,1
"AT3G53130.1",2,2,3,5,2,2,0.268,0.5224,0.997085,1,0.958217
"sum85",2,5,3,0,0,0,-1.336,-1.8487,0.997158,1,0.577503
"AT1G73110.1",0,3,4,2,5,3,0.257,0.5229,0.997399,1,0.958217
"AT1G21770.1",0,2,0,0,0,0,-0.342,-0.4162,0.997497,0.911378,1
"AT3G53700.1",0,2,1,0,0,0,-0.323,-0.4163,0.997576,0.911378,1
"AT3G51870.1",0,0,2,0,0,1,-0.34,-0.4165,0.997733,0.911378,1
"AT3G53970.1",2,0,0,0,0,0,-0.339,-0.4166,0.997811,0.911378,1
"AT2G27290.1",0,2,1,0,1,0,-0.348,-0.4168,0.997968,0.911378,1
"sum3",0,0,1,0,0,3,0.373,0.5239,0.998025,1,0.95825
"AT5G35590.1",5,2,4,0,0,2,-1.136,-1.8469,0.998563,1,0.578597
"AT4G22485.1",0,0,2,6,4,2,1.19,1.9546,0.998988,0.369726,0.997509
"AT3G61870.1",6,3,2,5,3,1,-0.196,-0.4185,0.9993,0.911487,1
"AT4G10320.1",5,18,0,9,18,1,0.154,0.5261,0.999404,1,0.958284
"AT1G76550.1",1,0,0,0,2,0,0.446,0.5266,0.999718,1,0.958284
"AT1G78380.1",15,36,25,12,40,31,0.085,0.5269,0.999906,1,0.958284
"ATCG00120.1",324,433,535,379,337,535,-0.03,-0.7519,1,0.940746,1
"AT3G26650.1",165,280,341,171,284,312,-0.029,-0.5728,1,0.922736,1
"AT3G12780.1",138,369,287,158,252,339,-0.059,-1.1229,1,0.976439,0.936284
"AT3G01500.1",159,332,183,172,283,298,0.11,1.9295,1,0.384756,0.997494
"AT5G04140.1",189,230,237,254,259,177,0.049,0.9013,1,0.950183,0.97281
"sum200",144,275,232,194,217,200,-0.061,-1.071,1,0.972073,0.957789
"AT1G56070.1",154,177,181,204,193,159,0.081,1.3006,1,0.778643,0.988136
"sum9",88,195,240,147,158,240,0.042,0.6886,1,0.996331,0.963184
"AT4G20360.1",125,191,202,147,141,179,-0.104,-1.7246,1,1,0.642037
"AT4G33010.1",114,138,105,147,141,113,0.118,1.6199,1,0.581726,0.995082
"AT1G42970.1",77,145,139,105,131,171,0.126,1.7613,1,0.488801,0.996715
"sum206",115,103,140,103,98,117,-0.117,-1.5171,1,0.997399,0.751162
"AT2G04030.1",72,104,94,86,75,78,-0.128,-1.4214,1,0.994033,0.799162
"sum205",55,107,117,61,69,124,-0.094,-1.0608,1,0.971342,0.961116
"sum27",73,83,106,70,82,90,-0.087,-0.9328,1,0.959409,1
"AT4G05180.1",45,133,60,64,129,67,0.087,0.9683,1,0.928596,0.975852
"AT1G44575.1",60,65,72,66,71,86,0.129,1.2708,1,0.794842,0.987251
"AT1G09340.1",70,71,82,45,61,80,-0.182,-1.7562,1,1,0.625181
"AT5G54270.1",60,76,69,37,99,92,0.1,1.0297,1,0.905677,0.978558
"AT2G13360.1",50,98,69,59,75,62,-0.103,-1.1081,1,0.975253,0.942425
"AT3G08580.1",41,54,75,56,85,69,0.209,1.9186,1,0.391106,0.99748
"AT4G13940.1",69,82,73,60,69,64,-0.148,-1.5072,1,0.997133,0.75559
"AT3G50820.1",46,69,67,38,79,77,0.069,0.6307,1,1,0.961014
"AT1G07890.1",37,66,69,46,76,81,0.167,1.6686,1,0.55061,0.995727
"AT5G42270.1",38,87,96,60,52,86,-0.118,-1.2038,1,0.982225,0.902429
"AT5G09660.1",40,65,60,57,63,66,0.116,1.01,1,0.913867,0.977643
"sum214",54,64,65,82,63,68,0.154,1.5684,1,0.615499,0.994265
"sum213",77,77,70,51,74,69,-0.146,-1.4643,1,0.995683,0.777545
"AT3G14415.1",36,86,68,35,51,71,-0.186,-1.728,1,1,0.639786
"AT3G58610.1",59,71,77,59,48,75,-0.125,-1.1971,1,0.981786,0.905256
"AT5G66190.1",39,52,53,34,48,84,0.139,1.1688,1,0.846516,0.983883
"AT3G08940.2",38,49,59,37,73,65,0.179,1.5972,1,0.597245,0.994722
"sum221",25,56,67,33,57,79,0.133,1.1648,1,0.847527,0.983807
"AT1G11860.1",38,79,61,51,50,61,-0.091,-0.8335,1,0.949332,1
"AT2G21170.1",45,65,37,37,60,70,0.121,1.1205,1,0.868138,0.98216
"sum204",64,65,62,75,46,57,-0.069,-0.6736,1,0.932489,1
"AT2G43750.1",40,43,60,36,44,83,0.121,1.0644,1,0.891967,0.979978
"AT1G68010.1",30,71,58,28,53,54,-0.163,-1.4184,1,0.993857,0.801302
"AT1G20620.1",41,46,44,61,59,37,0.191,1.6219,1,0.580312,0.995113
"AT3G55440.1",34,70,51,26,49,70,-0.066,-0.5945,1,0.924704,1
"AT2G30860.1",32,57,45,32,56,56,0.072,0.6153,1,1,0.960516
"AT1G20020.1",32,45,48,35,47,63,0.144,1.1727,1,0.844486,0.984034
"AT5G49910.1",32,56,70,30,43,64,-0.147,-1.2633,1,0.98606,0.875409
"AT3G54050.1",47,54,54,59,30,46,-0.14,-1.2008,1,0.982079,0.903373
"AT3G04790.1",37,51,32,29,49,53,0.096,0.7565,1,0.985854,0.966032
"AT2G37220.1",31,46,40,48,68,26,0.182,1.4321,1,0.702636,0.991518
"AT4G09000.1",41,36,47,26,29,45,-0.2,-1.4856,1,0.996433,0.766606
"sum70",28,46,42,32,46,53,0.141,1.1509,1,0.854531,0.98327
"AT4G32260.1",44,58,37,54,50,47,0.077,0.6506,1,1,0.961697
"AT5G20720.1",37,46,34,27,66,44,0.156,1.2121,1,0.824657,0.985421
"sum111",34,43,48,23,33,56,-0.108,-0.8516,1,0.951122,1
"AT3G46780.1",39,45,42,49,43,42,0.065,0.5326,1,1,0.958393
"sum33",42,66,26,45,57,17,-0.115,-0.9296,1,0.958984,1
"AT4G02510.1",27,43,31,37,54,27,0.155,1.1813,1,0.840392,0.984333
"AT4G09010.1",27,36,45,37,43,36,0.074,0.5599,1,1,0.958962
"sum132",15,38,32,17,48,47,0.265,1.8684,1,0.420949,0.997353
"AT1G65930.1",17,56,42,38,28,35,-0.14,-0.9948,1,0.965388,0.985715
"AT4G24190.1",18,48,24,36,48,16,0.094,0.6609,1,0.999602,0.962095
"sum64",31,44,50,30,37,46,-0.095,-0.7214,1,0.937367,1
"AT4G27440.1",27,39,37,18,32,34,-0.185,-1.2594,1,0.985802,0.877375
"AT2G26080.1",25,51,24,54,43,20,0.157,1.1316,1,0.86334,0.982562
"AT3G52960.1",44,44,33,37,30,32,-0.202,-1.4643,1,0.995683,0.777545
"AT1G66970.1",26,32,31,46,39,17,0.144,0.9963,1,0.918637,0.977084
"AT1G19570.1",26,38,33,22,52,36,0.122,0.8735,1,0.958285,0.971506
"AT3G29320.1",30,43,20,41,27,11,-0.162,-1.0696,1,0.972073,0.957789
"sum138",49,33,35,32,31,34,-0.184,-1.3565,1,0.991061,0.831879
"ATCG00800.1",25,42,25,14,41,30,-0.077,-0.5226,1,0.918517,1
"sum75",21,33,39,17,29,37,-0.111,-0.7285,1,0.938265,1
"AT1G11910.1",19,26,23,32,31,26,0.264,1.6627,1,0.553437,0.995672
"AT4G01310.1",17,37,25,17,48,28,0.158,1.0136,1,0.912253,0.977828
"AT5G13510.1",17,32,37,24,33,23,-0.071,-0.4526,1,0.913431,1
"AT5G45390.1",19,33,38,18,32,29,-0.132,-0.852,1,0.951122,1
"AT2G43030.1",24,29,28,18,37,35,0.104,0.6864,1,0.996607,0.963098
"AT1G29900.1",17,38,18,39,38,13,0.202,1.2305,1,0.816023,0.98598
"AT4G02520.1",24,42,19,14,33,24,-0.178,-1.0494,1,0.970229,0.966043
"AT3G48730.1",15,45,27,24,30,24,-0.104,-0.6836,1,0.933586,1
"AT4G31990.1",13,45,30,14,34,25,-0.192,-1.2552,1,0.985541,0.879336
"AT1G23190.1",12,36,29,29,22,45,0.206,1.3252,1,0.765572,0.988802
"AT1G78630.1",24,43,32,22,24,29,-0.274,-1.7843,1,1,0.610649
"AT3G09820.1",13,43,25,14,27,19,-0.288,-1.6974,1,1,0.656701
"AT3G44890.1",9,32,31,25,22,34,0.113,0.7119,1,0.993044,0.96416
"AT5G14040.1",21,24,15,25,28,30,0.315,1.7872,1,0.472213,0.996915
"AT2G47730.1",20,25,18,18,37,19,0.159,0.9732,1,0.927098,0.976043
"sum201",10,18,23,0,21,41,0.218,1.1432,1,0.857491,0.983036
"AT3G23990.1",23,37,29,22,23,29,-0.178,-1.1369,1,0.977432,0.930949
"AT1G43670.1",26,23,30,21,22,22,-0.194,-1.2331,1,0.984201,0.889059
"AT1G32990.1",18,24,25,28,25,30,0.209,1.2854,1,0.786804,0.987699
"AT2G30870.1",18,30,22,15,34,28,0.097,0.569,1,1,0.959167
"AT4G27520.1",24,29,26,28,23,19,-0.118,-0.7199,1,0.937367,1
"AT3G16240.1",19,29,26,25,22,22,-0.072,-0.4263,1,0.911937,1
"AT4G37910.1",17,31,29,23,25,22,-0.102,-0.6129,1,0.926532,1
"AT2G01250.1",12,29,16,10,40,19,0.218,1.1844,1,0.838328,0.984481
"AT3G11940.1",9,24,27,17,31,23,0.165,0.9111,1,0.947575,0.973209
"AT5G13650.1",19,24,27,28,21,31,0.135,0.8439,1,0.966352,0.970096
"AT3G16640.1",15,29,24,22,23,17,-0.097,-0.5486,1,0.92066,1
"AT1G71500.1",22,32,15,16,21,20,-0.194,-1.1186,1,0.976103,0.938048
"AT3G56940.1",12,36,29,17,26,17,-0.244,-1.3942,1,0.992849,0.813006
"AT5G19760.1",15,19,21,21,21,23,0.162,0.8874,1,0.954618,0.972109
"sum17",14,30,13,14,45,16,0.298,1.7326,1,0.508336,0.996444
"AT3G23810.1",15,28,18,33,19,19,0.148,0.8449,1,0.965799,0.970197
"AT1G11840.1",16,23,30,14,20,25,-0.159,-0.8842,1,0.954442,1
"AT4G01800.1",22,39,9,27,27,6,-0.163,-0.9093,1,0.957055,1
"AT4G26530.1",26,26,16,13,23,16,-0.257,-1.3964,1,0.992943,0.811947
"AT4G34450.1",16,32,8,26,41,7,0.279,1.5636,1,0.619696,0.994154
"AT4G04020.1",24,23,17,19,18,15,-0.213,-1.1523,1,0.978565,0.924647
"sum36",26,20,26,11,22,23,-0.264,-1.5264,1,0.997721,0.745616
"AT2G05990.1",15,23,26,13,22,20,-0.153,-0.8329,1,0.949107,1
"sum59",11,26,20,15,30,23,0.177,0.9707,1,0.927849,0.975947
"AT2G35370.1",17,19,22,23,18,27,0.172,1.011,1,0.913061,0.977735
"AT5G63570.1",17,29,20,20,13,16,-0.303,-1.6312,1,1,0.691744
"AT4G35830.1",15,33,9,29,33,8,0.199,1.1107,1,0.872867,0.981753
"AT1G07320.1",13,20,28,9,18,24,-0.18,-0.9497,1,0.961093,1
"AT3G26520.1",11,16,23,23,21,17,0.212,1.132,1,0.86334,0.982562
"AT1G24020.1",14,26,20,23,29,17,0.138,0.7774,1,0.98168,0.967003
"sum6",13,12,22,10,13,34,0.193,0.9935,1,0.919421,0.976991
"AT3G22960.1",11,34,22,25,13,23,-0.091,-0.4943,1,0.91636,1
"AT3G53460.1",14,19,22,14,16,15,-0.201,-1.0037,1,0.966184,0.982665
"AT4G35000.1",11,18,19,11,13,32,0.149,0.7584,1,0.985454,0.966128
"AT1G55480.1",13,15,19,18,24,25,0.36,1.8723,1,0.419634,0.997361
"AT3G15730.1",16,35,4,22,26,2,-0.102,-0.5354,1,0.919572,1
"AT4G01150.1",14,12,24,19,22,21,0.213,1.083,1,0.883932,0.980751
"AT1G35160.1",14,18,27,11,13,27,-0.132,-0.6706,1,0.932271,1
"sum141",15,18,14,10,14,15,-0.187,-0.8255,1,0.948433,1
"AT1G12840.1",13,28,20,12,19,19,-0.208,-1.092,1,0.973862,0.949331
"AT5G06290.1",9,17,15,10,26,21,0.307,1.5273,1,0.641927,0.993535
"AT2G29450.1",19,26,17,8,19,18,-0.332,-1.6884,1,1,0.66122
"AT5G58330.1",12,28,14,17,20,23,0.106,0.5686,1,1,0.959167
"AT4G39330.1",12,31,20,9,19,18,-0.322,-1.6674,1,1,0.672525
"AT4G34200.1",12,27,22,16,15,22,-0.163,-0.8695,1,0.952899,1
"AT4G02530.1",9,18,21,21,17,20,0.19,0.9634,1,0.930082,0.975659
"AT5G50850.1",20,15,19,10,12,23,-0.18,-0.9126,1,0.957486,1
"AT1G35680.1",11,31,16,18,17,16,-0.131,-0.7106,1,0.936248,1
"ATCG00770.1",16,18,23,12,21,8,-0.341,-1.6652,1,1,0.673656
"AT5G61790.1",20,25,18,19,15,22,-0.123,-0.6542,1,0.930537,1
"AT1G79040.1",11,17,18,19,17,23,0.25,1.2665,1,0.797116,0.987121
"AT4G12060.1",11,21,19,14,16,12,-0.209,-1.0282,1,0.968331,0.974082
"AT2G28190.1",13,31,10,13,17,16,-0.159,-0.7866,1,0.944368,1
"AT5G02790.1",20,18,15,15,28,17,0.136,0.6713,1,0.998423,0.962505
"AT1G63940.1",19,22,23,21,12,14,-0.311,-1.6409,1,1,0.686094
"AT1G30230.1",10,17,17,8,13,29,0.117,0.5661,1,1,0.959115
"AT1G50250.1",10,21,21,20,14,26,0.133,0.7132,1,0.993043,0.96416
"AT2G33800.1",9,21,22,14,10,19,-0.195,-0.9243,1,0.958558,1
"AT2G44160.1",14,31,14,15,8,22,-0.249,-1.213,1,0.982944,0.897688
"AT1G21750.1",14,27,20,19,5,23,-0.269,-1.3692,1,0.991677,0.825628
"AT1G27450.1",10,25,8,16,22,19,0.266,1.3532,1,0.749747,0.989557
"AT1G29880.1",18,26,19,13,17,25,-0.138,-0.7791,1,0.943462,1
"AT3G01480.1",14,18,14,13,15,13,-0.109,-0.514,1,0.917834,1
"AT1G76080.1",10,21,16,6,18,17,-0.135,-0.6419,1,0.929253,1
"AT5G65220.1",12,23,15,19,15,22,0.109,0.5477,1,1,0.95868
"AT5G40950.1",9,18,20,16,13,25,0.138,0.6818,1,0.997146,0.962926
"AT5G47190.1",9,25,23,9,16,15,-0.351,-1.7205,1,1,0.64429
"AT5G16050.1",11,20,13,8,14,15,-0.195,-0.8825,1,0.954442,1
"AT2G27710.1",10,12,19,19,15,14,0.143,0.6788,1,0.997668,0.962757
"AT3G03250.1",13,18,21,16,15,11,-0.196,-0.9702,1,0.962958,0.994628
"sum78",11,17,19,13,13,26,0.113,0.5612,1,1,0.958962
"AT2G19730.1",13,19,11,15,22,13,0.163,0.8312,1,0.969595,0.969492
"AT1G01790.1",18,10,9,25,26,3,0.364,1.6738,1,0.546366,0.995807
"AT2G28900.1",12,15,17,17,17,16,0.138,0.652,1,1,0.961775
"AT1G74970.1",1,23,21,21,15,16,0.147,0.7053,1,0.994293,0.963801
"AT3G23600.1",26,16,10,11,20,11,-0.205,-0.9826,1,0.964181,0.990216
"AT1G32470.1",6,19,15,15,19,17,0.244,1.1826,1,0.839361,0.984407
"AT5G42390.1",9,27,10,13,21,6,-0.135,-0.6368,1,0.928829,1
"AT5G58250.1",10,22,18,19,14,11,-0.127,-0.6054,1,0.925713,1
"AT3G15190.1",16,19,18,7,15,19,-0.253,-1.205,1,0.98237,0.901484
"AT3G63460.1",13,24,4,24,22,2,0.158,0.7589,1,0.985454,0.966128
"AT5G46800.1",11,10,17,14,14,16,0.139,0.6257,1,1,0.960797
"AT5G20630.1",13,12,19,7,9,22,-0.163,-0.7566,1,0.941198,1
"AT3G25770.1",8,14,13,8,17,16,0.148,0.642,1,1,0.961388
"AT3G02080.1",13,17,16,14,14,13,-0.139,-0.6309,1,0.928196,1
"AT4G08390.1",8,19,10,7,21,15,0.154,0.6753,1,0.998174,0.962589
"AT1G74470.1",17,26,13,16,13,16,-0.211,-1.0939,1,0.974038,0.948474
"AT3G03960.1",14,24,17,12,10,17,-0.348,-1.6751,1,1,0.668003
"AT4G25080.1",9,18,12,5,13,17,-0.109,-0.4663,1,0.914397,1
"sum23",4,25,14,8,17,12,-0.137,-0.5942,1,0.924704,1
"AT4G34110.1",12,15,20,14,13,15,-0.104,-0.469,1,0.914541,1
"AT4G24770.1",13,12,26,6,12,18,-0.361,-1.6532,1,1,0.679312
"AT3G48110.1",14,21,11,8,21,3,-0.373,-1.6375,1,1,0.688354
"AT4G35250.1",8,17,16,6,15,13,-0.191,-0.8296,1,0.948883,1
"AT5G17710.1",12,16,21,11,11,11,-0.394,-1.7304,1,1,0.63866
"AT4G13430.1",16,17,18,18,13,11,-0.192,-0.9091,1,0.957055,1
"sum109",13,26,10,20,17,1,-0.257,-1.1749,1,0.980285,0.914579
"AT5G14200.1",6,20,18,5,22,10,-0.168,-0.7412,1,0.939617,1
"AT1G13930.1",23,18,6,21,6,12,-0.18,-0.7937,1,0.945047,1
"sum124",7,11,12,12,11,18,0.328,1.3723,1,0.738561,0.990059
"AT5G15450.1",20,28,3,16,21,1,-0.296,-1.328,1,0.98966,0.845281
"AT5G42980.1",11,10,12,18,12,9,0.176,0.7215,1,0.99173,0.964526
"AT2G40840.1",11,37,0,17,18,0,-0.311,-1.4003,1,0.99313,0.809827
"AT4G14040.1",15,18,17,18,17,10,-0.107,-0.5208,1,0.918345,1
"AT5G53490.1",2,19,12,14,19,16,0.408,1.7639,1,0.487414,0.996733
"sum13",3,23,12,20,19,11,0.261,1.1607,1,0.849542,0.983655
"AT3G14067.1",15,23,11,14,10,14,-0.253,-1.1092,1,0.975253,0.942424
"AT1G17880.1",15,13,12,15,8,10,-0.204,-0.8775,1,0.953782,1
"AT4G35100.1",11,10,10,19,18,11,0.439,1.8359,1,0.442271,0.997204
"AT2G33210.1",6,23,22,11,7,16,-0.403,-1.7419,1,1,0.633036
"AT1G22300.1",11,16,11,8,11,11,-0.235,-0.993,1,0.965188,0.986471
"AT1G73230.1",12,14,10,11,10,11,-0.124,-0.5113,1,0.917666,1
"AT2G44060.1",10,19,14,0,19,9,-0.403,-1.6708,1,1,0.670264
"AT4G34670.1",10,10,9,9,10,15,0.126,0.5331,1,1,0.958393
"sum1",12,14,13,8,19,8,-0.099,-0.4365,1,0.912534,1
