"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT5G01400.1",0,0,0,0,0,0,0.028,0.0328,0.784238,0.937798,0.994574
"sum104",0,0,3,3,0,0,0.018,0.0264,0.784239,0.936708,0.995746
"AT1G19130.1",2,0,0,0,1,2,0.025,0.0329,0.784239,0.937798,0.994574
"sum113",0,9,0,4,6,0,0.011,0.0263,0.78424,0.936708,0.995746
"AT5G61140.1",0,0,0,0,1,0,0.028,0.0331,0.78424,0.937798,0.994574
"AT3G03980.1",0,0,0,0,0,0,0.023,0.0261,0.784241,0.936708,0.995746
"AT2G27960.1",0,0,0,0,1,0,0.03,0.0333,0.784242,0.937798,0.994574
"AT2G44310.1",0,1,1,0,0,0,0.023,0.0258,0.784244,0.936708,0.995746
"AT1G56110.1",0,1,1,0,0,0,0.029,0.0336,0.784244,0.937798,0.994574
"AT5G53540.1",0,0,0,0,0,1,0.023,0.0253,0.784248,0.936708,0.995746
"AT3G51550.1",0,0,0,0,0,0,0.03,0.034,0.784248,0.938164,0.994186
"AT3G56650.1",6,13,8,6,10,11,0.01,0.0344,0.784253,0.938164,0.994186
"AT5G65020.1",6,5,6,1,5,11,0.012,0.0347,0.784257,0.938164,0.994186
"AT4G36800.1",0,1,1,1,0,0,0.021,0.0246,0.784257,0.936347,0.99614
"AT1G76850.1",0,0,0,0,1,0,0.032,0.0348,0.784259,0.938164,0.994186
"AT5G59950.1",0,0,0,0,0,0,0.032,0.035,0.784261,0.938164,0.994186
"AT2G47450.1",0,1,1,0,0,0,0.022,0.0241,0.784264,0.936347,0.99614
"AT1G54410.1",0,0,0,0,0,0,0.033,0.0354,0.784266,0.938164,0.994186
"AT3G28710.1",2,4,4,3,6,0,0.011,0.0237,0.784269,0.936348,0.99614
"AT2G30050.1",0,0,0,0,0,0,0.031,0.0356,0.784269,0.938164,0.994186
"AT4G33625.1",0,0,0,0,0,0,0.02,0.0237,0.784269,0.936348,0.99614
"AT2G40300.1",0,0,0,0,0,1,0.031,0.0356,0.784269,0.938164,0.994186
"AT5G67370.1",0,0,0,0,0,0,0.021,0.0237,0.784269,0.936348,0.99614
