Tissue,AT1G23180.1,AT1G33780.1,AT3G19780.1,AT3G29240.1,AT5G52960.1,AT1G32160.1,AT1G48450.1,AT1G63610.1,AT2G14910.1,AT3G17800.1,AT4G33630.1,AT1G27510.1,AT5G24060.1,AT3G49140.1,AT3G59300.1,AT3G09250.1,AT1G75380.1,AT1G19660.1,AT5G66050.1
silique valves,0.9302407904461819,1.0,0.8667485100779001,0.0,0.868756331172842,0.9255402912107928,0.0,0.9338973603231449,0.8101721747601918,0.9816837789256112,0.8654282283884738,0.8705809554943259,0.8627856838377546,0.8695413455693473,0.0,0.8615547304036435,0.9439804086180416,0.9606633925720056,0.7431022932635384
egg like callus,0.9459213443809079,0.910255512517644,0.9595321533001495,0.8121460209501018,0.7884173509137478,0.8849572428597731,0.0,0.8634499820560005,0.0,0.7511166117306325,0.9716098585912486,0.8512274475007395,0.9021461127324,0.8144596740984763,0.8354834256262367,0.9579092413008561,0.7905339270584686,0.8255034136320872,0.8719737334081137
callus,0.9137433383903216,0.850400056018899,0.9806120399098234,0.8434326259000358,0.8198323217182907,0.7855170225517963,0.0,0.751918480792285,0.0,0.7038421546712468,0.9032067102454643,0.8445609365027476,0.8364634226317342,0.812773300390219,0.928717154208403,0.8671144918305955,0.8612122361024602,0.8176706168705064,0.8332437527263663
cell culture early,0.9113743338390321,0.9208991033290705,0.9779245998973236,0.725834960219997,0.773140179372936,0.7691976229928823,0.8677161152614729,0.9569954872750319,1.0,0.9493957036232525,0.9804854255602988,0.9432159591525398,0.9742679607830278,0.8168519716846089,1.0,0.8444588645749467,0.7664315752415072,0.7856705132963343,0.7359046862341871
cell culture late,0.9383319718364648,0.9434135410946534,0.9420548648467667,0.9810231542708399,0.6886298312510809,0.8709764610485,0.0,0.982674495849973,0.8735293015587531,0.8435691162665387,0.9676619196905016,0.9134793505502888,0.9569547824376168,0.8993783948075377,0.9739278939321889,0.8348174050975161,0.9015749706941709,0.9871481714843041,0.8343732473359506
cotelydons,1.0,0.9323608649023171,0.861395950983237,1.0,0.9516771946006934,0.9952091633075968,0.9051938811810745,1.0,0.8800350344724222,0.8934283032132317,0.9906908684631803,0.9241893553760177,0.9797152178902843,0.9871953252152088,0.8893661190450624,1.0,0.961594856101609,0.9975746381377364,0.6688789181778526
hypocotyl,0.9439763488543976,0.899626663521746,0.973098814758599,0.8435879673363142,0.919607487872973,0.9117122834232351,0.8418712202063322,0.9383528172079137,0.0,0.8757687887551621,0.9314509405016008,0.8801429038434596,0.9005189034987048,0.9037512010510422,0.86097262914615,0.9282678619352616,0.9087553824072175,0.9771618950621014,0.7527497351529882
root tip,0.8770801727156028,0.8675263602088915,1.0,0.7728446375716356,0.0,0.7709995730161902,0.8392298114549982,0.866515733451433,0.9232145533573141,0.7479762070141318,0.9296124599786553,0.8798665919457027,0.8572195625799259,0.8571994431044963,0.0,0.7988592074536053,0.83332624061343,0.8598123581249623,0.7606211441390914
root upper zone,0.8699692690706811,0.8458632622900673,0.9716434901006673,0.6859080126792199,0.6682053647167341,0.8566587929285214,0.0,0.8438261188274552,0.8916601094124699,0.7949475687121395,0.9466215314834578,0.8421792057784212,0.8172730104600452,0.8708982881345962,0.0,0.8180299698378937,0.9504876567329901,0.896171208106405,0.0
shoot tip,0.9960788890185552,0.9094225999402955,0.907484207941787,0.9589940592396666,0.9578827734448992,0.9717916475699138,0.9254002134471719,0.9871299527347419,0.8666160821342926,0.8649625971904744,1.0,0.9414997120129517,1.0,1.0,0.9374760319676028,0.9683197744050694,0.941032416309129,0.9675208658800784,0.8173373527762198
