Tissue,AT1G11390.1,AT1G61640.1,AT1G65950.1,AT2G39190.1,AT2G40090.1,AT4G01660.1,AT4G24810.1,AT5G24810.1,AT5G24970.1,AT5G50330.1,AT5G64940.1,AT1G06690.1,AT1G17420.1,AT1G28150.1,AT1G32220.1,AT1G52590.1,AT1G54570.1,AT1G73750.1,AT1G78140.1,AT2G34460.1,AT2G35490.1,AT2G41040.1,AT2G42130.1,AT2G46910.1,AT3G10130.1,AT3G23400.1,AT3G26840.1,AT3G27110.1,AT3G43540.1,AT3G58010.1,AT4G04020.1,AT4G13200.1,AT4G19170.1,AT4G22240.1,AT4G32770.1,AT4G38970.1,AT5G08740.1,AT5G13800.1,AT5G41120.1,AT1G71810.1,AT1G79600.1,AT3G07700.1,AT3G24190.1,AT4G31390.1,AT5G05200.1
silique valves,0.6889951386976322,0.49067449769744637,0.5898796523432246,0.7335026356072785,0.7691681984999776,0.7913098615905874,0.7998315517097822,0.7944034176428769,0.5910357328141113,0.6558723123530881,0.7811453202759221,0.8513684021750966,0.788594193337646,0.8149310514888138,0.9231959060020112,0.7147715700277332,0.9065944623425201,0.8564058386867439,0.8476247510103695,0.9059988086927004,0.9467754641935299,0.8509360729131307,0.9041670135975559,0.8261684098609502,0.834629253639572,0.9717032491945866,0.0,0.8007954858420173,0.8749639725615028,0.87745226764704,0.9521075250911094,0.9256585815757281,0.9016082648545133,0.9788478905534456,0.920883745060238,1.0,0.8565499484407325,0.8218963562649314,0.7514907353440381,0.8086478662149094,0.8688088848466993,0.901448142905637,0.7259064503525886,0.8763986652234341,0.866179682446151
egg like callus,0.8313772378607364,0.7627104813130201,0.6607215082986226,0.6152476104649925,0.8722778459769951,0.8784228714156975,0.7480433132047087,0.7981933909045108,0.7278910357844841,0.8171642055816132,0.7176410482022607,0.7796057533332861,0.6141087229558566,0.8498336017938365,0.874289525782852,0.0,0.8596649329085271,0.0,0.8396297373817649,0.7901289320002554,0.9681892043398355,0.8243203928274921,0.8224506304682566,0.7484477779275795,0.8182072988142797,0.9106026524370774,0.0,0.7945957836326609,0.8742611422935278,0.8475167994777437,0.8912947838242494,1.0,0.667192943864554,0.8950449523512173,0.7685539321776522,0.990179312693806,0.9158677897067276,0.6963995543792175,0.7473088904184435,0.6685872827776083,0.7930950066346406,0.7670425113711353,0.7364947809859005,0.7159167512258119,0.8532538122574098
callus,0.8579372347839412,0.6744432971259062,0.0,0.6015638397629793,0.8719008716783,0.9126825726368177,0.6161660019921991,0.8528910602804403,0.7510809321740146,0.8060342468502458,0.7136232116729728,0.7767934352298144,0.0,0.8379130802827025,0.9352133951669105,0.6620850953591979,0.8811905031214767,0.0,0.8409634070252382,0.8820443027120907,0.9806836964414072,0.8861308648552008,0.8461409353119105,0.8253286581116435,0.8362675092768609,0.9533548121093592,0.0,0.7393758506069639,0.8681098555473257,0.8446850975484277,0.9594773578916258,1.0,0.686257840178933,0.9359321922581539,0.8007217160642028,0.9979092856178553,0.9092053460989751,0.6070040756159945,0.7820658301376661,0.6831126468152181,0.78062458723898,0.7839084318182648,0.699834713156176,0.7974086817553244,0.849578025971562
cell culture early,0.8320151413128538,0.8051975468161386,0.6456532420972174,0.7033940563067571,0.89925203370398,0.8875502738903348,0.6395312016597208,0.8287029791260988,0.7382299950863528,0.7311470636408307,0.7506014668146826,0.8263080310833683,0.6571802944548583,0.7965640866985751,0.8927914975704745,0.704165680904111,0.8711750896285646,0.7175853973684689,0.774612822799323,0.8250705199366685,1.0,0.8703088318258749,0.8909497898050921,0.6575770259695355,0.793484867786493,0.8930571984931482,0.0,0.6903965495277439,0.8306611585288176,0.8775992283754026,0.9699830752151996,0.9947514968425267,0.7757047443993522,0.9483921454439571,0.8509672605506925,0.9488616717319698,0.8311088463848295,0.6825601921782016,0.8218384320005824,0.6455731678465486,0.7785764982074287,0.7641958907350452,0.8086662177655645,0.8140166336057071,0.8779850406740796
cell culture late,0.7728144489210221,0.6825121419504387,0.0,0.6915841106021303,0.8485671118715161,0.8376600529830563,0.7337739389591037,0.799609525912026,0.7099798554004083,0.8038005684640432,0.7223977592582371,0.7982987471714774,0.5965733484187868,0.8402229703626027,0.8876869584414151,0.6309192008388984,0.8763142281582867,0.650370467465092,0.752124841326784,0.8202784369998344,0.9825562944974888,0.8528650863734202,0.8665799713008443,0.7016736574866163,0.7885196478834373,0.9167103592913516,0.0,0.7657500413930128,0.8596535404823666,0.9166172250124178,0.9261445168055632,1.0,0.5673602295932446,0.9162377890612065,0.8550347701308019,0.9253546001434957,0.8161977758154423,0.6627297312213699,0.8256940228489431,0.7140398200783707,0.827153126552238,0.7478613610022629,0.7623730614272312,0.812041227440808,0.8399435675258017
cotelydons,0.6586085931751638,0.5306238341083046,0.0,0.6915115451900384,0.7020232705112979,0.7597690656685158,0.7225276989915704,0.6885622780798623,0.6160274043701666,0.5424209025490094,0.8162203584916605,0.8425714189760608,0.7289360961595412,0.7483536311706392,0.8898604440997866,0.7562641395375818,0.7763716687173131,0.6819371128323649,0.802350254473513,0.8775993087846028,0.8860807415300163,0.7786034640149723,0.8717771013528159,0.8005733668357051,0.7859980032912111,0.8866760904808282,0.0,0.8589236701583628,0.838999325271189,0.8061146916855703,0.8708245430315168,0.8735509359190814,0.8337388830032454,0.835869926939998,0.827815924210552,1.0,0.8131978176644613,0.6062331508614242,0.45133251307477884,0.7706288411456345,0.7790766901040792,0.722408629201408,0.7609353389977987,0.8279258347860865,0.8089601543632972
hypocotyl,0.7114431569564865,0.5828830726845474,0.0,0.7729616724738676,0.7307576371444778,0.7990535612997326,0.7561396969451423,0.757873754152824,0.6501158739162143,0.6693947005915242,0.7918321043675554,0.8705745077384329,0.5255133295519002,0.7473851389676688,0.899567296005186,0.7410226075682684,0.8281792399319342,0.655655133295519,0.8600956162385545,0.885772627825946,0.8958722956000325,0.8128741593063772,0.8807260351673284,0.7966809820922129,0.7851324852118953,0.933178834778381,0.0,0.6003695000405154,0.8425054695729682,0.8194344056397375,0.895920914026416,0.8911660319261001,0.8135418523620452,0.930657159063285,0.8716570780325744,1.0,0.8369597277368123,0.6185171379953002,0.6751640871890446,0.7676460578559274,0.7856770115873917,0.7370326553763876,0.7699311238959566,0.8227988007454826,0.8297512357183373
root tip,0.9172404929193475,0.7903885400925393,0.6862780227141723,0.9270007322126845,0.8894709373880261,1.0,0.7802349312187448,0.9136495349670505,0.7305223636448612,0.8154979825203696,0.8554308370593092,0.8986352801881943,0.7811891445574788,0.8066646933275172,0.9111101590615215,0.0,0.9548598669553974,0.6256913178270421,0.8718705697237844,0.8900940971194442,0.9369323404321613,0.8686418233653742,0.9077334122668993,0.7947195002258954,0.7706694293414761,0.9203407125831529,0.0,0.7616608764741623,0.8656467619062456,0.8525604075464643,0.9435339388368724,0.9574381903441399,0.8180490426708626,0.9889038620324354,0.8909626259951082,0.8836015516677314,0.8884777765660784,0.6769228372462572,0.7734152269080372,0.7300277306080482,0.8200937855395785,0.7632694075308853,0.8722483603109566,0.8381848914923118,0.8817281777251554
root upper zone,0.8548433254912455,0.0,0.6769728797558918,0.7237986924898071,0.8249764923195856,1.0,0.683577330047833,0.8593776132549867,0.666510568235456,0.8233374587918725,0.7877916160275923,0.868498221592873,0.6284745838304325,0.7649677954069896,0.8916788386276717,0.0,0.9005318496549111,0.7545129171451826,0.8719621201140262,0.8495359788300795,0.9413404395285828,0.8446077283589968,0.9898684684885585,0.752725218444888,0.7946227807077205,0.9102211022779222,0.0,0.8295962625575614,0.846529225714615,0.8196691456584194,0.9311308588015358,0.9408089615366033,0.7308751547046952,0.9463170061807546,0.8701967211896187,0.9867836661574885,0.8589427676251854,0.6791173748703826,0.7463028829893594,0.7087909433176863,0.692448924221645,0.6931327840155207,0.7694612002482708,0.7788679890433767,0.7977930655130249
shoot tip,0.6600697135219761,0.5448259201275049,0.52645003811968,0.8099380986593795,0.751227516447936,0.7441055679832336,0.7480932316390208,0.713412166295928,0.5900487241672496,0.5588439226562671,0.8182177559273749,0.8503355473076212,0.6412702795129466,0.7385084067228683,0.8888505426171749,0.7509545607138264,0.8002277768539813,0.6777459503722552,0.8104369487941318,0.8720747459472348,0.888916428484029,0.7809106681768125,0.877348752717792,0.8011972403234054,0.7626006720358419,0.9025014667448931,0.0,0.6738900584501761,0.8617589016512253,0.8050186206009419,0.8645637571258702,0.88377419344718,0.8273319675088554,0.8326185239683371,0.8139163500484732,1.0,0.8107287290616283,0.5842225310840107,0.6450100868124731,0.7679907634289516,0.7746985721591426,0.7207882459613533,0.76371759435013,0.8190083863296239,0.7890177672220949
