Acc	wt-1	wt-2	wt-3	mut-1	mut-2	mut-3
AT1G06000.1	0	0	0	2	0	1
AT2G31790.1	1	0	0	0	1	2
AT3G16520.1	1	0	0	0	0	3
AT5G39320.1	0	0	1.3	0	1.3	5
AT1G71220.1	7	0	1	0	3	4
AT1G78570.1	10	8	6	5	10	8
AT3G11930.1	2	3	2	2	2	6
AT1G70770.1	5	9	5	0	1	8
AT3G01680.1	2	2	5	2	5	8
AT4G15545.1	0	0	0	0	0	2
AT5G08450.1	2	1	0	0	0	0
AT5G41950.1	3	1	2	1	0	1
AT5G47690.1	7	6	3	8	2	9
AT1G47550.1	1	1	0	0	0	0
AT1G65010.1	5	0	0	0	2	0
AT3G11620.1	1	1	0	0	0	0
AT3G50685.1	0	2	2	1	1	2
AT4G24330.1	1	1	0	0	0	1
AT5G16300.1	2	2	0	2	1	0
AT5G43830.1	2	2	0	1	2	3
AT5G66420.1	2	2	0	1	1	0
AT5G23920.1	2	2	0	0	2	2
AT5G40450.1	40	17	18	1	2	5
AT4G02725.1	2	1	1	0	1	2
AT2G38770.1	3	3	0	0	2	3
AT1G27930.1	0	1	0	0	0	1
AT4G10060.1	5	9	4	2	2	4
AT2G32240.1	25	5	3	4	6	4
AT1G71820.1	1	3	3	0	0	2
AT5G41970.1	0	3	0	0	2	0
AT1G55860.1	11	7.6	0	0	5.4	0
AT1G70320.1	22	30.4	15	14	13.6	17
AT2G34470.1	0	2	0	0	0	2
AT3G54470.1	2	2	0	0	3	4
AT3G13290.1	1.5	2	2.5	0	1.3	3.2
AT3G13300.1	14.5	8	12.5	9	12.8	16.8
AT2G38410.1	0	0	0	0	1	2
AT5G16880.1	1	1	0	0	0	0
AT2G45540.2	2	3	2	3	1	1
AT5G64570.1	1	2	0	2	4	2
AT2G38860.1	2	2	0	0	0	2
AT1G48570.1	0	0	0	1	1	1
sum20	3	0	0	3	2	4
sum22	7	5	0	5	3	7
sum24	15	10	16.8	16.2	13.4	20.4
sum38	6	5	4	11	13	12
sum71	20.2	18.1	17.9	21	21.3	17.1
sum78	0	0	0	3	3	5
sum80	7	9	4.8	4	2.7	7
AT1G50480.1	4	3	3	8	5	5
AT4G09000.1	13.6	14.2	9.2	13.4	23.7	17.4
AT1G22300.1	8	6	11.2	5	4	6.3
AT2G42590.1	10	12	11.2	13	10	15.5
AT1G62380.1	2	5	2	2	6	6
AT3G08590.1	6.4	7.3	5.6	13.2	12	13.5
AT3G14990.1	9	6	9	6	4	6
AT4G29120.1	2	1	2	3	0	2
AT5G41670.1	0	0	1	0	0	3.7
AT1G13930.1	3	7	6	4	5	7
AT2G23600.1	5	5	4	5	7	10
AT5G09810.1	14.9	12.9	14.7	5.6	9.7	11.9
AT4G34450.1	37	32	27	16	27	38
AT3G09820.1	22.3	12.6	14	14.6	13	23.4
AT5G03300.1	10.7	9.4	14	8.4	13	10.6
AT5G63400.1	1	0	2	0	0	2
AT5G43940.1	5	5	4	7	3	9
AT3G24503.1	0	0	1	3	2	6
AT3G56190.1	3	0	0	0	0	1
AT4G38220.1	3	4	0	1	4	3
AT5G65010.1	7	8	6	5	3	7
AT5G60160.1	0	0	0	0	0	2
AT3G54400.1	4	4	0	2	0	6
AT4G31180.1	4	4	3	3	2	7
AT1G18080.1	24.8	22	21.1	23.7	25.1	36.5
AT1G66200.1	6	9.6	4	7	4	7.2
AT5G03630.1	4	5	2	0	4	0
AT4G00860.1	2	7	2	3	2	3
AT5G56680.1	7	4	4	4	10	5
AT2G07698.1	29.2	31.3	16.5	20.6	31.1	41.4
AT5G40770.1	5	3	8.6	8	9	12
AT2G41530.1	4	4	3	6	4	9
AT5G19140.1	4	3	2	5	5	9
AT3G28940.1	2	1	1	0	0	1
AT1G08200.1	3.5	3.5	0	0	3.5	3.5
AT1G24020.1	2	2	2	2	5	4
AT1G74920.1	6	8	5	2	1	6
AT3G12290.1	7	7	3	5	4	4
AT4G34050.1	0	1	1	0	4	4
AT5G07340.1	0	0	0	0	0	2
AT3G62360.1	10	10	5	1	4	4
AT5G11560.1	4	4	9	4	3	11
AT3G19450.1	0	0	2	1	1	4
AT5G41790.1	8	2	1	0	0	3
AT3G08530.1	81.8	47.2	47.1	41.9	67.7	64.4
AT3G11130.1	89.2	78.8	61.9	56.1	46.3	86.6
AT2G21390.1	52.5	46.8	45.3	40.3	39.4	39.3
AT1G78850.1	10	6	4	0	2	2
AT1G78830.1	0	0	2	2	0	0
AT3G12490.1	1	1	0	0	0	2
AT5G12140.1	2	3	2	1	3	0
AT3G48890.1	2	0	0	0	2	0
AT2G39800.1	8.6	10.3	6	4	9	12.7
AT1G43670.1	6	3	3	3	3	7
AT2G32520.1	0	1	0	3	2	3
AT3G61260.1	0	3	0	0	2	0
AT4G28440.1	0	0	0	0	0	2
AT5G66680.1	0	0	0	3	5	2
AT4G11420.1	30	21	22	21	33	29
AT5G19510.1	7	6	4	6	5.6	8.4
AT1G30230.1	8	8	4	8	5	13.6
AT1G57720.1	9	7	4.5	8.3	18.9	15.1
AT1G56070.1	148	134	136	187	183	211
AT4G02930.1	2	0	3	4	1	6
AT1G30360.1	24.5	22.1	19	14	7.5	28.5
AT2G24200.1	8	7.2	10	12.9	12.4	10.2
AT2G45790.1	5	1	4	4	5	3
AT3G56150.1	17	14	12	6	17	16
AT3G11400.1	0	1	1	1	2	1
AT1G26630.1	4	5	2	6	6	7
AT1G07110.1	4	5	1	1	3	4
AT5G28840.1	7	2	4	5	2	8
AT1G29660.1	20	16	11	10	11	15
AT1G29670.1	11	10	10	11	17	19
AT5G42740.1	5	5	5	5	4	5
AT1G65960.2	7	5	9	5	3	15
AT4G30530.1	6	4	0	0	6	6
AT5G40370.1	4	4	0	1	1	5
