Name,STN,pVal
AT5G42390.1,0.5408,0.1226
AT1G55480.1,0.5401,0.1228
AT5G66140.1,0.5388,0.1231
AT1G76680.1,0.5333,0.1246
AT2G32520.1,0.5333,0.1246
AT1G09210.1,0.5333,0.1246
AT1G08640.1,0.5333,0.1246
AT5G58440.1,0.5333,0.1246
AT2G45820.1,0.5333,0.1246
AT3G13870.1,0.5333,0.1246
AT1G53670.1,0.5333,0.1246
AT4G31840.1,0.5333,0.1246
sum88,0.5333,0.1246
AT1G48620.1,0.5333,0.1246
AT2G35630.1,0.5333,0.1246
AT5G52440.1,0.5333,0.1246
AT5G27670.1,0.5333,0.1246
AT5G42480.1,0.5333,0.1246
AT1G53210.1,0.5333,0.1246
AT4G23940.1,0.5333,0.1246
AT2G13440.1,0.5333,0.1246
AT1G67140.1,0.5333,0.1246
AT2G05520.1,0.5333,0.1246
AT5G06390.1,0.5333,0.1246
AT1G14830.1,0.5333,0.1246
AT5G12370.1,0.5333,0.1246
AT3G61111.1,0.5333,0.1246
AT1G53580.1,-0.5333,0.1382
AT5G64860.1,-0.5333,0.1382
AT1G26340.1,-0.5333,0.1382
AT4G38100.1,-0.5333,0.1382
AT4G32940.1,-0.5333,0.1382
AT3G20820.1,-0.5333,0.1382
AT2G30050.1,-0.5333,0.1382
AT2G26540.1,-0.5333,0.1382
AT1G60550.1,-0.5333,0.1382
AT3G02950.1,-0.5333,0.1382
AT5G47870.1,-0.5333,0.1382
AT3G46940.1,-0.5333,0.1382
sum45,-0.5333,0.1382
AT5G04440.1,-0.5333,0.1382
AT3G61240.1,-0.5333,0.1382
AT5G05610.1,-0.5333,0.1382
AT3G59840.1,-0.5333,0.1382
AT3G29200.1,-0.5333,0.1382
AT3G45140.1,0.5324,0.1384
AT5G35790.1,0.5322,0.1384
AT3G12930.1,-0.5322,0.1389
AT5G61790.1,0.5321,0.139
AT5G62790.1,0.5316,0.139
AT1G77090.1,-0.5316,0.1393
AT1G11750.1,-0.5306,0.1396
sum117,0.5294,0.14
AT5G14910.1,-0.5294,0.14
AT3G53420.1,-0.5292,0.1401
AT5G09590.1,0.5278,0.1404
AT4G09010.1,0.5261,0.1407
AT4G14800.1,0.526,0.1407
AT3G19170.1,0.5234,0.1411
AT1G74260.1,0.5221,0.1414
ATCG00810.1,0.5221,0.1414
AT1G50200.1,0.5205,0.1419
AT5G08650.1,0.5205,0.1419
AT1G49760.1,0.5204,0.1422
AT4G29840.1,-0.5172,0.1428
sum214,-0.517,0.143
AT3G52990.1,0.5158,0.1433
AT5G08570.1,0.5136,0.1437
AT2G43710.1,-0.5132,0.1438
AT2G39770.1,0.5121,0.144
AT2G46520.1,0.5121,0.144
AT5G38830.1,-0.5121,0.1454
AT4G38350.1,0.5116,0.1456
AT3G13930.1,-0.5116,0.1458
ATCG00800.1,-0.5105,0.146
sum94,0.5074,0.1467
AT3G55120.1,0.5065,0.1468
AT5G62810.1,0.5065,0.1468
ATMG00070.1,-0.5065,0.1474
AT1G73230.1,-0.5048,0.1482
ATCG00580.1,-0.5043,0.1483
AT1G12410.1,0.5043,0.1483
AT4G12800.1,0.5037,0.1486
AT3G46740.1,0.5001,0.1493
sum140,0.4998,0.1494
AT1G04080.1,0.4998,0.1494
AT5G48480.1,0.4998,0.1494
AT3G17930.1,0.4998,0.1494
AT4G36530.1,-0.4998,0.1514
AT5G44650.1,-0.4998,0.1514
AT5G08050.1,-0.4998,0.1514
AT5G46070.1,-0.4998,0.1514
AT2G20190.1,-0.4998,0.1514
sum105,-0.4998,0.1514
AT4G33010.1,0.4996,0.1515
AT5G09660.1,-0.4967,0.1518
AT2G30870.1,0.4957,0.1524
AT3G02090.1,-0.494,0.1528
ATCG00560.1,0.4936,0.1531
AT2G35040.1,-0.4936,0.1532
AT1G17100.1,0.4923,0.1535
sum200,0.4911,0.1539
sum108,-0.4909,0.1542
AT1G18080.1,-0.4891,0.1544
AT3G59760.1,-0.489,0.1544
sum12,0.4883,0.1547
AT1G22410.1,0.4864,0.155
AT1G32990.1,0.4855,0.1553
AT1G45474.1,0.484,0.1555
AT2G19940.1,0.484,0.1555
AT1G31180.1,0.4833,0.157
AT3G49010.1,0.4819,0.1573
AT1G79040.1,0.4813,0.1573
AT5G57040.1,0.4805,0.1579
ATCG00180.1,0.4805,0.1579
AT4G29010.1,-0.4805,0.1587
AT1G78300.1,-0.4776,0.1594
ATCG00660.1,-0.4772,0.1599
AT2G39470.1,-0.4772,0.1599
AT5G28060.1,0.477,0.16
AT2G24200.1,0.4753,0.1606
AT2G22125.1,0.4669,0.1625
sum15,-0.4656,0.1628
AT2G09990.1,0.4652,0.1631
AT5G23140.1,0.4641,0.1633
sum87,-0.4641,0.1639
sum77,-0.4641,0.1639
AT3G56190.1,-0.4641,0.1639
AT3G25760.1,-0.4624,0.1644
AT4G08870.1,-0.4621,0.1648
AT5G65220.1,0.4617,0.165
AT4G23400.1,0.4615,0.165
AT3G54050.1,0.4612,0.1651
AT5G03300.1,0.4607,0.1652
sum83,-0.4603,0.1653
AT5G13450.1,0.4589,0.1657
AT3G54470.1,0.4559,0.1664
AT5G51200.1,0.4559,0.1664
AT2G29340.1,-0.4559,0.1707
AT1G12240.1,-0.4559,0.1707
AT1G01470.1,-0.4559,0.1707
AT3G02200.2,-0.4559,0.1707
sum102,-0.4559,0.1707
AT3G15010.1,-0.4559,0.1707
AT1G74070.1,-0.4559,0.1707
AT1G11650.1,-0.4559,0.1707
sum65,-0.4553,0.1708
sum98,-0.4551,0.1709
AT5G52240.1,-0.4542,0.171
AT5G67030.1,0.454,0.1711
AT4G34490.1,0.454,0.1711
