Name,STN,pVal
sum121,-0.5229,0.1429
AT2G41950.1,-0.5229,0.1429
AT3G13160.1,-0.5229,0.1429
AT3G04610.1,-0.5229,0.1429
AT4G29060.1,-0.522,0.143
sum12,0.5219,0.1434
AT5G64050.1,0.5193,0.1439
AT1G76810.1,0.5193,0.1439
AT2G32720.1,0.5193,0.1439
AT1G01470.1,-0.5193,0.1445
sum102,-0.5193,0.1445
AT3G15010.1,-0.5193,0.1445
AT4G32760.1,-0.5193,0.1445
AT1G76680.1,-0.5193,0.1445
AT2G32520.1,-0.5193,0.1445
AT1G78680.1,-0.5192,0.145
AT3G58140.1,-0.5192,0.145
AT1G29470.1,-0.5192,0.145
sum58,-0.5192,0.145
AT4G09040.1,-0.5187,0.1453
AT3G61870.1,-0.518,0.1458
AT1G67700.1,-0.5167,0.1462
AT3G62030.1,-0.5157,0.1463
AT1G10290.1,0.516,0.1466
AT4G35460.1,0.516,0.1466
AT4G31990.1,-0.514,0.1467
AT2G27720.1,0.5123,0.1472
AT3G22960.1,0.5113,0.1474
AT1G35720.1,-0.5095,0.1475
AT2G42590.1,-0.5089,0.1476
AT2G44060.1,-0.5074,0.1479
AT3G52300.1,-0.5074,0.1479
AT2G42130.3,-0.5074,0.1479
AT5G67360.1,0.5066,0.1484
AT1G72150.1,-0.5058,0.1485
sum143,0.5064,0.1487
AT1G17880.1,-0.5015,0.1498
AT2G30490.1,0.4985,0.1509
AT1G33810.1,0.4985,0.1509
AT5G59870.1,0.4985,0.1509
AT2G39960.1,0.4985,0.1509
AT1G80410.1,-0.4985,0.151
AT5G20630.1,-0.4975,0.1513
sum214,0.4974,0.1516
AT1G21440.1,-0.4971,0.1517
AT1G11750.1,-0.4965,0.152
AT4G27090.1,-0.4957,0.1523
AT3G10520.1,0.4963,0.1524
AT5G35360.1,0.4953,0.1528
AT5G48810.1,0.4953,0.1528
AT1G02780.1,0.4953,0.1528
sum27,0.4949,0.1531
AT3G14415.1,-0.4936,0.1532
AT1G79500.1,0.4938,0.1534
AT3G18890.1,0.4905,0.154
AT4G31700.1,-0.4882,0.1541
AT5G48300.1,0.4869,0.1546
AT2G33150.1,-0.4868,0.1548
AT1G09340.1,-0.4862,0.1549
AT1G22700.1,0.4862,0.1552
AT1G69740.1,-0.4846,0.1553
AT3G59780.1,0.4846,0.1555
AT5G08570.1,0.4843,0.1557
sum214,-0.4839,0.1557
AT3G46000.1,0.4817,0.1564
AT4G25890.1,0.4813,0.1566
AT5G11560.1,0.4813,0.1566
AT4G13850.1,-0.4813,0.1586
AT5G35630.1,0.4801,0.1592
AT5G57290.1,0.4784,0.1597
AT4G36760.1,-0.4784,0.1599
AT3G06050.1,-0.4778,0.1602
AT5G16050.1,-0.4774,0.1602
AT1G80380.2,-0.4772,0.1603
sum210,0.4744,0.1611
AT3G60370.1,0.4741,0.1613
sum140,0.4741,0.1613
ATCG00500.1,0.4741,0.1613
AT1G30530.1,0.4741,0.1613
AT1G56050.1,0.4741,0.1613
AT3G17930.1,0.4741,0.1613
AT3G05970.1,0.4741,0.1613
AT3G15660.1,-0.4741,0.1633
AT5G51720.1,-0.4741,0.1633
ATMG00510.1,-0.4741,0.1633
AT3G54110.1,-0.4741,0.1633
AT2G35830.1,-0.4741,0.1633
AT3G18860.1,-0.4741,0.1633
AT5G26360.1,0.474,0.1637
AT5G64940.1,0.474,0.1637
AT4G16390.1,-0.474,0.164
AT4G02580.1,-0.474,0.164
AT4G35360.1,-0.474,0.164
AT5G65010.1,0.4725,0.1644
AT5G28060.1,0.4723,0.1648
AT4G23600.1,-0.4719,0.1648
AT2G36530.1,0.4709,0.1653
AT3G03960.1,0.4692,0.1658
sum116,0.4691,0.1659
sum23,-0.4679,0.166
AT5G17710.1,-0.4665,0.1666
sum124,-0.4659,0.1667
AT1G24020.1,0.4652,0.167
AT5G14740.2,-0.4644,0.1673
AT4G10340.1,0.4643,0.1675
AT3G02360.1,0.4623,0.1678
AT3G28940.1,-0.4615,0.1683
AT1G11840.1,-0.4606,0.1687
AT2G21330.1,-0.4604,0.1688
AT2G17420.1,0.4606,0.169
AT1G74970.1,0.4586,0.17
sum41,-0.4545,0.1709
AT4G19710.2,-0.4531,0.1711
AT5G01410.1,0.4541,0.1712
AT3G26710.1,0.4527,0.1716
AT2G02740.1,-0.4527,0.1726
AT3G49680.1,-0.4527,0.1726
AT4G01900.1,0.4507,0.1731
AT5G57040.1,0.4507,0.1731
AT5G08530.1,-0.4507,0.1739
AT3G11930.1,-0.4507,0.1739
AT5G46580.1,-0.4507,0.1739
AT3G14310.1,-0.4473,0.1747
AT5G21430.1,-0.4469,0.175
AT3G19820.1,0.4467,0.1753
AT5G60600.1,0.4466,0.1755
AT1G52670.1,-0.4462,0.176
AT3G22890.1,0.4453,0.1764
AT2G39800.1,0.4454,0.1764
sum26,-0.4432,0.1766
AT1G70730.1,0.4434,0.1768
sum55,0.4412,0.1772
AT1G05010.1,-0.4403,0.1774
AT2G21390.1,0.4388,0.1778
AT1G09130.1,-0.4383,0.1778
AT3G48110.1,-0.438,0.178
AT3G63460.1,-0.4364,0.1784
AT5G38430.1,0.4367,0.1784
AT1G15820.1,0.4359,0.1787
AT4G15000.1,0.4358,0.1787
ATCG00160.1,-0.4354,0.1789
AT1G12000.1,0.434,0.1794
AT5G23140.1,0.434,0.1794
AT5G62350.1,-0.434,0.1798
AT5G52520.1,-0.434,0.1798
AT4G13930.1,0.4337,0.18
ATCG00270.1,0.4324,0.1801
AT5G20890.1,0.4321,0.1803
AT4G08870.1,-0.4321,0.1806
AT5G64460.1,-0.4321,0.1806
AT4G01800.1,-0.4316,0.1808
sum220,0.4308,0.1814
sum82,0.4302,0.1816
AT3G62410.1,0.4302,0.1816
AT1G54010.1,-0.4302,0.1859
AT1G11650.1,-0.4302,0.1859
AT3G51820.1,-0.4302,0.1859
AT3G06860.1,-0.4302,0.1859
AT2G33255.1,-0.4302,0.1859
AT5G11670.1,-0.4289,0.1861
AT2G33040.1,-0.4287,0.1862
AT1G32990.1,0.43,0.1862
AT3G57330.1,-0.4269,0.1865
AT1G20620.1,0.4276,0.1865
AT3G16950.1,-0.4269,0.1866
AT5G07340.1,-0.4269,0.1866
AT5G66680.1,0.4262,0.1871
AT2G18710.1,0.4262,0.1871
AT5G58060.1,0.4262,0.1871
AT1G17720.1,0.4262,0.1871
AT5G57020.1,0.4262,0.1871
AT4G12650.1,0.4262,0.1871
AT1G49670.1,0.4262,0.1871
AT4G19210.1,0.4262,0.1871
AT2G17200.1,0.4262,0.1871
AT4G15530.1,0.4262,0.1871
AT2G20230.1,-0.4262,0.1894
AT3G55400.1,-0.4262,0.1894
AT2G15290.1,-0.4262,0.1894
AT1G35420.1,-0.4262,0.1894
AT2G04400.1,-0.4262,0.1894
AT4G37200.1,-0.4262,0.1894
AT1G74230.1,-0.4262,0.1894
AT5G51545.1,-0.4262,0.1894
AT4G29680.1,-0.4262,0.1894
AT2G33470.1,-0.4262,0.1894
